name,description,category_id,price_1_day,price_2_days,price_3_days,price_4_days,price_5_days,price_6_days,price_7_days,price_14_days,price_30_days,deposit,image_url
АЛЮМЕТ 4*5,Лестница алюминиевая 4х5,11,500,900,1300,1600,1900,2100,2200,4000,8000,5000,
SevenBerg 4×6 фибергласовая,Лестница фибергласовая 4х6,11,800,1500,2100,2600,3000,3300,3500,6500,13000,8000,
Gutubao FK595 2.8л/мин,Краскопульт 2.8 л/мин,12,600,1100,1600,2000,2300,2600,2800,5200,10000,6000,
FK850 4л/мин,Краскопульт 4 л/мин,12,800,1500,2100,2600,3000,3300,3500,6500,13000,8000,
FK1095 6л/мин,Краскопульт 6 л/мин,12,1000,1900,2700,3400,3900,4300,4600,8500,17000,10000,
FK-2030 10л/мин,Краскопульт 10 л/мин,12,1200,2300,3200,4000,4600,5100,5500,10000,20000,12000,
Бадья БН-1.5,Бадья для бетона 1.5 м³,13,500,900,1300,1600,1900,2100,2200,4000,8000,5000,
Бетономешалка ПРОФМАШ (220 л),Бетономешалка 220 литров,13,1200,2300,3200,4000,4600,5100,5500,10000,20000,12000,
Вибратор VPK MECH 3 м,Глубинный вибратор 3 метра,13,800,1500,2100,2600,3000,3300,3500,6500,13000,8000,
Виброрейка бенз. VPK SKAT Z,Виброрейка бензиновая,13,1500,2800,3900,4800,5500,6000,6500,12000,25000,15000,
Виброрейка электр. VPK SKAT E,Виброрейка электрическая,13,1200,2300,3200,4000,4600,5100,5500,10000,20000,12000,
Гладилка по бетону,Гладилка для бетона 5 м/5.7 м,13,13,400,700,1000,1300,1500,1700,1800,3300,6800,
БЗМ-600,Затирочная машина 600 мм,13,1000,1900,2700,3400,3900,4300,4600,8500,17000,10000,
БЗМ-900,Затирочная машина 900 мм,13,1200,2300,3200,4000,4600,5100,5500,10000,20000,12000,
ЭЗМ-600,Затирочная машина электрическая 600 мм,13,800,1500,2100,2600,3000,3300,3500,6500,13000,8000,
ЭЗМ-900,Затирочная машина электрическая 900 мм,13,1000,1900,2700,3400,3900,4300,4600,8500,17000,10000,
Тележка для топпинга VPK SKAT,Тележка для топпинга,13,600,1100,1600,2000,2300,2600,2800,5200,10000,6000,
Dingli BA18CRT2,"Подъемник коленчатый Dingli BA18CRT2

Тип питания: Электрический
Рабочая высота: 18
Горизонтальный рабочий вылет: 9.64
Грузоподъемность: 320
Аккумуляторы: 48В/375Ач",14,10990,19782,26376,35168,43960,52752,50005,100009,181335,150000,
Dingli BA20CRT2,"Подъемник коленчатый Dingli BA20CRT2

Тип питания: Дизельный
Рабочая высота: 20
Горизонтальный рабочий вылет: 11.13
Грузоподъемность: 320",14,14490,28980,43470,57960,72450,86940,101430,159390,289800,150000,
Sany SPS1012HA,"Подъемник ножничный Sany SPS1012HA

Грузоподъемность, кг: 350
Двигатель: электрический
Подъемный двигатель, кВт: 3.5
Максимальная высота подъема платформы, м: 10
Длина, выдвижная платформа сложена /выдвинута, м: 2.48/2.27
Ширина, м: 1.18
Высота машины, м: 2.51
Высота машины, поручни сложены, м: 1.83
Длина выдвижной платформы, м: 0.9
Колесная база, м: 1.87
Масса, т: 2.75
Дорожный просвет, защитные шторки от выбоин сложены/выдвинуты, мм: 110/19
Габариты платформы (Д×Ш×Г), м: 2,27х1,12х1,12",14,5190,10380,15570,20760,25950,31140,36330,57090,103800,150000,
SUNWARD SWSL1008HD,"Подъемник ножничный SUNWARD SWSL1008HD

Грузоподъёмность, кг: 230
Макс. рабочая высота, м: 10
Нагрузка на выдвижной платформе, кг: 113
Габариты в сложенном виде (ДхШхВ), м: 2,46х0,83х1,26
Общий вес, кг: 2080
Привод: Передний
Скорость (платформа опущена), км/ч: 3,2
Скорость (платформа поднята), км/ч: 0,8
Подъём/спуск платформы, сек: 32/40
Клиренс, мм: 20
Радиус поворота, м: 2,1
Батарея, кол-вохВ/А·ч: 4х6/225
Зарядка, В/А: 24/30",14,3790,6822,9096,12128,15160,18192,17245,34489,62535,150000,
SUNWARD SWSL1212HD,"Подъемник ножничный SUNWARD SWSL1212HD

Рабочая высота, м: 12.00
Высота до пола платформы, м: 10.00
Грузоподъемность, кг: 320
Скорость движения, км/ч: 3.20
Макс. преодолеваемый уклон, %: 25
Колесная база, м: 1.87
Дорожный просвет, см: 11
Скорость подъема / опускания, сек: 55/38
Максимально допустимый уклон, °: 1.5/3
Грузоподъемность выдвижной секции платформы, кг: 113
Высота в сложенном положении, м: 1.36
Длина, м: 2.47
Ширина, м: 1.17
Размер платформы, м: 2.27х1.15
Увеличенный размер платформы, м: 3.17х1.17
Радиус поворота – внешний, м: 2.20
Вес, кг: 2940",14,3590,7180,10770,14360,17950,21540,25130,39490,71800,150000,
SUNWARD SWSL1614HD,"Подъемник ножничный SUNWARD SWSL1614HD

Привод: Гидравлический
Макс. рабочая высота, м: 15,8
Грузоподъёмность, кг: 260
Подъём/спуск, сек.: 88/60
Общий вес, кг: 3500
Нагрузка на выдвижной платформе, кг: 113
Габариты в сложенном виде (ДхШхВ), м: 2,84х1,41х1,53
Привод: Передний
Скорость (платформа опущена), км/ч: 3,2
Скорость (платформа поднята), км/ч: 0,8
Подъём/спуск платформы, сек: 88/60
Клиренс, мм: 20
Радиус поворота, м: 2,5
Батарея, кол-вохВ/А·ч: 4х12/300
Зарядка, В/А: 24/30",14,6490,11682,15576,20768,25960,31152,29530,59059,107085,150000,
